date&time,time,duration,source_ip,destination_ip,protocol,protocol_name,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,tcp_flags,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,flags_str,win_size,checksum,checksum_status,urgent_pointer,stream,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac
2017-08-09 12:07:47.289920,0.0,0.0,192.168.2.13,192.168.100.5,17,udp,1514,0x00000000,0x00000040,4,51010,56514,1480,,,,,,,,,,,,,,,,,,,0x0000bc92,2,,0,,,,,,10:4f:a8:70:22:7e,10:4f:a8:70:22:7e
2017-08-09 12:07:47.291937,0.002017,0.0020170211791992188,192.168.2.13,192.168.100.5,17,udp,1514,0x00000000,0x00000040,4,51010,56514,1480,,,,,,,,,,,,,,,,,,,0x0000904f,2,,0,,,,,,10:4f:a8:70:22:7e,10:4f:a8:70:22:7e
2017-08-09 12:07:47.292219,0.002299,0.0002818107604980469,192.168.2.13,192.168.100.5,17,udp,1514,0x00000000,0x00000040,4,51010,56514,1480,,,,,,,,,,,,,,,,,,,0x0000dc60,2,,0,,,,,,10:4f:a8:70:22:7e,10:4f:a8:70:22:7e
2017-08-09 12:07:47.292293,0.002373,7.414817810058594e-05,192.168.2.13,192.168.100.5,17,udp,481,0x00000000,0x00000040,4,51010,56514,447,,,,,,,,,,,,,,,,,,,0x00006d38,2,,0,,,,,,10:4f:a8:70:22:7e,10:4f:a8:70:22:7e
2017-08-09 12:07:47.307037,0.0,0.014744043350219727,192.168.2.15,192.168.100.5,17,udp,209,0x00000000,0x00000040,4,51000,56512,175,,,,,,,,,,,,,,,,,,,0x0000102e,2,,1,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.308002,0.000965,0.0009648799896240234,192.168.2.15,192.168.100.5,17,udp,1514,0x00000000,0x00000040,4,51000,56512,1480,,,,,,,,,,,,,,,,,,,0x00003a74,2,,1,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.308038,0.001001,3.600120544433594e-05,192.168.2.15,192.168.100.5,17,udp,1514,0x00000000,0x00000040,4,51000,56512,1480,,,,,,,,,,,,,,,,,,,0x00001e28,2,,1,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.315673,0.0,0.0076351165771484375,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,1,4229845264,1241,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x000077e0,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.315731,,5.793571472167969e-05,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:a0:de:f1:88:6e,00:a0:de:f1:88:6e
2017-08-09 12:07:47.315777,0.000104,4.601478576660156e-05,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,1241,4229846504,2481,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00005a0b,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.315921,0.000248,0.00014400482177734375,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,2481,4229847744,3721,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00006147,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316003,0.00033,8.20159912109375e-05,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,3721,4229848984,4961,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00005199,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316104,0.000431,0.00010085105895996094,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,4961,4229850224,6201,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00000ef3,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316105,0.000432,9.5367431640625e-07,192.168.100.5,192.168.2.15,6,tcp,60,0x00000000,0x00000040,4,61036,443,0,1,1183892093,1,2481,4229847744,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,16430,0x0000382c,2,0,0,,,,,,00:a0:de:f1:88:6e,00:a0:de:f1:88:6e
2017-08-09 12:07:47.316254,0.000581,0.00014901161193847656,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,6201,4229851464,7441,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00003dfd,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316269,0.000596,1.5020370483398438e-05,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,7441,4229852704,8681,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00000126,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316341,0.000668,7.200241088867188e-05,192.168.100.5,192.168.2.15,6,tcp,60,0x00000000,0x00000040,4,61036,443,0,1,1183892093,1,6201,4229851464,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,16430,0x000029a4,2,0,0,,,,,,00:a0:de:f1:88:6e,00:a0:de:f1:88:6e
2017-08-09 12:07:47.316425,0.000752,8.416175842285156e-05,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,8681,4229853944,9921,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00008042,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316481,0.000808,5.602836608886719e-05,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,9921,4229855184,11161,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x00009504,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316586,0.000913,0.0001049041748046875,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,11161,4229856424,12401,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x0000c0cc,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316588,0.000915,1.9073486328125e-06,192.168.100.5,192.168.2.15,6,tcp,60,0x00000000,0x00000040,4,61036,443,0,1,1183892093,1,8681,4229853944,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,16430,0x00001ff4,2,0,0,,,,,,00:a0:de:f1:88:6e,00:a0:de:f1:88:6e
2017-08-09 12:07:47.316736,0.001063,0.0001480579376220703,192.168.2.15,192.168.100.5,6,tcp,1294,0x00000000,0x00000040,4,443,61036,1240,12401,4229857664,13641,1,1183892093,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,2264,0x0000b7bc,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316739,0.001066,3.0994415283203125e-06,192.168.2.15,192.168.100.5,6,tcp,568,0x00000000,0x00000040,4,443,61036,514,13641,4229858904,14155,1,1183892093,0x00000018,0,0,0,0,0,1,1,0,0,0,·······AP···,2264,0x000032dc,2,0,0,,,,,,ac:9b:0a:fc:2a:73,ac:9b:0a:fc:2a:73
2017-08-09 12:07:47.316740,0.001067,9.5367431640625e-07,192.168.100.5,192.168.2.15,6,tcp,60,0x00000000,0x00000040,4,61036,443,0,1,1183892093,1,11161,4229856424,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,16430,0x00001644,2,0,0,,,,,,00:a0:de:f1:88:6e,00:a0:de:f1:88:6e
2017-08-09 12:07:47.316994,0.001321,0.00025391578674316406,192.168.100.5,192.168.2.15,6,tcp,60,0x00000000,0x00000040,4,61036,443,0,1,1183892093,1,14155,4229859418,0x00000010,0,0,0,0,0,1,0,0,0,0,·······A····,16430,0x00000a92,2,0,0,,,,,,00:a0:de:f1:88:6e,00:a0:de:f1:88:6e
