time,duration,source_ip,destination_ip,protocol,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,win_size,checksum,checksum_status,urgent_pointer,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac,label
0,0,0.752563599,0.752569438,0.066666667,0.023102159,0,64,0.666666667,0.778362707,0.862348363,0.022583352,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.736614023,2,0.5,0,0,0,0,0,0,0,0
0.002017,0.002017021,0.752563599,0.752569438,0.066666667,0.023102159,0,64,0.666666667,0.778362707,0.862348363,0.022583352,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.563714046,2,0.5,0,0,0,0,0,0,0,0
0.002299,0.000281811,0.752563599,0.752569438,0.066666667,0.023102159,0,64,0.666666667,0.778362707,0.862348363,0.022583352,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.860852979,2,0.5,0,0,0,0,0,0,0,0
0.002373,7.41E-05,0.752563599,0.752569438,0.066666667,0.00733959,0,64,0.666666667,0.778362707,0.862348363,0.006820783,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.426642252,2,0.5,0,0,0,0,0,0,0,0
0,0.014744043,0.752563599,0.752569438,0.066666667,0.003189136,0,64,0.666666667,0.778210117,0.862317845,0.002670329,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.063202869,2,0.5,0,0,0,0,0,0,0,0
0.000965,0.00096488,0.752563599,0.752569438,0.066666667,0.023102159,0,64,0.666666667,0.778210117,0.862317845,0.022583352,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.228336004,2,0.5,0,0,0,0,0,0,0,0
0.001001,3.60E-05,0.752563599,0.752569438,0.066666667,0.023102159,0,64,0.666666667,0.778210117,0.862317845,0.022583352,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.117799649,2,0.5,0,0,0,0,0,0,0,0
0,0.007635117,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,2.33E-10,0.984837596,2.89E-07,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.468268864,2,0,0,0,0,0,0,0,0,0
,5.79E-05,0,0,0,0.000961318,0,4,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
0.000104,4.60E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,2.89E-07,0.984837884,5.78E-07,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.351735714,2,0,0,0,0,0,0,0,0,0
0.000248,0.000144005,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,5.78E-07,0.984838173,8.66E-07,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.379995422,2,0,0,0,0,0,0,0,0,0
0.00033,8.20E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,8.66E-07,0.984838462,1.16E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.318745708,2,0,0,0,0,0,0,0,0,0
0.000431,0.000100851,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,1.16E-06,0.98483875,1.44E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.058396277,2,0,0,0,0,0,0,0,0,0
0.000432,9.54E-07,0.752569438,0.752563599,0.023529412,0.000915541,0,64,0.666666667,0.93134966,0.006759747,0,2.33E-10,0.275646358,2.33E-10,5.78E-07,0.984838173,0,0,0,0,0,1,0,0,0,0,0.25070573,0.219424735,2,0,0,0,0,0,0,0,0,0
0.000581,0.000149012,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,1.44E-06,0.984839039,1.73E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.242145418,2,0,0,0,0,0,0,0,0,0
0.000596,1.50E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,1.73E-06,0.984839328,2.02E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.004486152,2,0,0,0,0,0,0,0,0,0
0.000668,7.20E-05,0.752569438,0.752563599,0.023529412,0.000915541,0,64,0.666666667,0.93134966,0.006759747,0,2.33E-10,0.275646358,2.33E-10,1.44E-06,0.984839039,0,0,0,0,0,1,0,0,0,0,0.25070573,0.162661173,2,0,0,0,0,0,0,0,0,0
0.000752,8.42E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,2.02E-06,0.984839617,2.31E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.501014725,2,0,0,0,0,0,0,0,0,0
0.000808,5.60E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,2.31E-06,0.984839905,2.60E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.582101167,2,0,0,0,0,0,0,0,0,0
0.000913,0.000104904,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,2.60E-06,0.984840194,2.89E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.753124285,2,0,0,0,0,0,0,0,0,0
0.000915,1.91E-06,0.752569438,0.752563599,0.023529412,0.000915541,0,64,0.666666667,0.93134966,0.006759747,0,2.33E-10,0.275646358,2.33E-10,2.02E-06,0.984839617,0,0,0,0,0,1,0,0,0,0,0.25070573,0.124818799,2,0,0,0,0,0,0,0,0,0
0.001063,0.000148058,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.93134966,0.018921187,2.89E-06,0.984840483,3.18E-06,2.33E-10,0.275646358,0,0,0,0,0,1,0,0,0,0,0.034546426,0.717723354,2,0,0,0,0,0,0,0,0,0
