time,duration,source_ip,destination_ip,protocol,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,win_size,checksum,checksum_status,urgent_pointer,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac,label
0,0,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.768902113,0.018921187,2.33E-10,0.894560151,2.89E-07,2.33E-10,0.145598243,0,0,0,0,0,1,0,0,0,0,0.034546426,0.543083848,2,0,0,0,0,0,0,0,0,0
5.00E-06,5.01E-06,0.752569438,0.752563599,0.023529412,0.000915541,0,64,0.666666667,0.768902113,0.006759747,0,2.33E-10,0.145598243,2.33E-10,0.999999423,0.894559573,0,0,0,0,0,1,0,0,0,0,0.25070573,0.933760586,2,0,0,0,0,0,0,0,0,0
9.30E-05,8.80E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.768902113,0.018921187,2.89E-07,0.894560439,5.78E-07,2.33E-10,0.145598243,0,0,0,0,0,1,0,0,0,0,0.034546426,0.216632334,2,0,0,0,0,0,0,0,0,0
0.00018,8.70E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.768902113,0.018921187,5.78E-07,0.894560728,8.66E-07,2.33E-10,0.145598243,0,0,0,0,0,1,0,0,0,0,0.034546426,0.361348898,2,0,0,0,0,0,0,0,0,0
0.000182,1.91E-06,0.752569438,0.752563599,0.023529412,0.000915541,0,64,0.666666667,0.768902113,0.006759747,0,2.33E-10,0.145598243,2.33E-10,2.33E-10,0.894560151,0,0,0,0,0,1,0,0,0,0,0.25070573,0.895918212,2,0,0,0,0,0,0,0,0,0
0.000291,0.000109196,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.768902113,0.018921187,8.66E-07,0.894561017,1.16E-06,2.33E-10,0.145598243,0,0,0,0,0,1,0,0,0,0,0.034546426,0.266239414,2,0,0,0,0,0,0,0,0,0
0.000405,0.000113964,0.752569438,0.752563599,0.023529412,0.000915541,0,64,0.666666667,0.768902113,0.006759747,0,2.33E-10,0.145598243,2.33E-10,5.78E-07,0.894560728,0,0,0,0,0,1,0,0,0,0,0.25070573,0.858075837,2,0,0,0,0,0,0,0,0,0
0.000428,2.29E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.768902113,0.018921187,1.16E-06,0.894561306,1.44E-06,2.33E-10,0.145598243,0,0,0,0,0,1,0,0,0,0,0.034546426,0.891767758,2,0,0,0,0,0,0,0,0,0
0,3.31E-05,0.752563599,0.752569438,0.066666667,0.003189136,0,64,0.666666667,0.778210117,0.228305486,0.002670329,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.200717174,2,0.5,0,0,0,0,0,0,0,0
0.000552,9.08E-05,0.752563599,0.752569438,0.023529412,0.019745174,0,64,0.666666667,0.006759747,0.768902113,0.018921187,1.44E-06,0.894561594,1.73E-06,2.33E-10,0.145598243,0,0,0,0,0,1,0,0,0,0,0.034546426,0.260135805,2,0,0,0,0,0,0,0,0,0
